pr,acc,f-measure,precision
3983,0.5,0.88,0.6025
3984,0.5,0.88,0.6025
3987,0.25,0.76,0.38222222222222224
3988,0.1666666716337204,0.8000000000000002,0.16333333333333333
3996,0.4285714328289032,0.8399999999999999,0.44
4002,0.20000000298023224,0.68,0.23428571428571426
4004,0.25,0.88,0.20666666666666667
4011,0.5714285969734192,0.88,0.5733333333333334
4015,0.3571428656578064,0.64,0.7171428571428571
4016,0.5714285969734192,0.88,0.8455555555555556
4019,0.125,0.72,0.13555555555555554
4030,0.2857142984867096,0.8000000000000002,0.2857142857142857
4031,0.4285714328289032,0.8399999999999999,0.5885714285714285
4034,0.20000000298023224,0.8399999999999999,0.2
4035,0.0,0.8399999999999999,0.08
4037,0.5714285969734192,0.88,0.6133333333333333
4039,0.4000000059604645,0.88,0.4
4040,0.0,0.8000000000000002,0.08
4043,1.0,1.0,1.0
4044,0.25,0.76,0.25
4046,0.3333333432674408,0.92,0.3333333333333333
4047,0.2222222238779068,0.72,0.2733333333333333
4054,0.3333333432674408,0.76,0.56
4056,0.3333333432674408,0.8399999999999999,0.39714285714285713
4057,0.5,0.88,0.5
4058,0.20000000298023224,0.8399999999999999,0.35250000000000004
4059,0.1818181872367859,0.64,0.3164625850340136
4060,0.2857142984867096,0.8000000000000002,0.2857142857142857
4061,0.2857142984867096,0.8000000000000002,0.4857142857142857
4068,0.0833333358168602,0.56,0.15323232323232322
4100,0.125,0.72,0.11142857142857143
4105,0.5,0.96,0.5
4106,0.2857142984867096,0.8000000000000002,0.32
4107,0.23529411852359772,0.48,0.6799999999999999
4109,0.3529411852359772,0.56,0.7214285714285714
4111,0.2222222238779068,0.72,0.2533333333333333
4116,0.5,0.92,0.4844444444444444
4119,0.0,0.72,0.2
4123,0.800000011920929,0.96,0.8400000000000001
4124,0.4444444477558136,0.8000000000000002,0.44
4128,0.30000001192092896,0.72,0.3342857142857143
4141,0.25,0.76,0.49
4157,0.0,0.8399999999999999,0.04
4180,0.5,0.88,0.62
4182,0.5,0.88,0.5
4184,0.30000001192092896,0.72,0.41591836734693877
4185,0.5,0.88,0.62
4189,0.375,0.8000000000000002,0.38
4191,0.30000001192092896,0.72,0.6849999999999999
4203,0.125,0.72,0.11142857142857143
4208,0.0,0.76,0.08
4212,0.20000000298023224,0.8399999999999999,0.37166666666666665
4216,0.25,0.64,0.3607142857142857
4225,0.0,0.88,0.04
4226,0.3333333432674408,0.92,0.5333333333333333
4234,0.125,0.72,0.11142857142857143
4245,0.1818181872367859,0.64,0.33999999999999997
4246,0.2857142984867096,0.8000000000000002,0.2622222222222222
4252,0.25,0.76,0.31380952380952376
4253,0.0,0.88,0.04
4255,0.5,0.92,0.4844444444444444
4258,0.3571428656578064,0.64,0.524090909090909
4259,0.5555555820465088,0.8399999999999999,0.625
4260,0.1428571492433548,0.76,0.22666666666666668
4261,0.0,0.72,0.04
4263,0.125,0.72,0.25555555555555554
4264,0.20000000298023224,0.8399999999999999,0.2
4265,0.4000000059604645,0.88,0.3733333333333333
4268,0.30000001192092896,0.72,0.305
4270,0.7142857313156128,0.92,0.8971428571428571
4275,0.20000000298023224,0.52,0.6799999999999999
4277,0.0,0.72,0.08
4278,0.30000001192092896,0.72,0.3342857142857143
4280,0.5555555820465088,0.8399999999999999,0.6408333333333334
4281,0.375,0.8000000000000002,0.375
4282,0.1428571492433548,0.76,0.12333333333333332
4284,0.4545454680919647,0.76,0.5568253968253969
4289,0.0,0.72,0.04
4290,0.4285714328289032,0.8399999999999999,0.495
4291,0.1666666716337204,0.8000000000000002,0.21857142857142858
4299,0.5,0.88,0.5
4309,0.5555555820465088,0.8399999999999999,0.590204081632653
4311,0.30000001192092896,0.72,0.3742857142857143
4312,0.7142857313156128,0.92,0.7344444444444446
4313,0.25,0.76,0.25
4314,0.625,0.88,0.6352380952380953
4317,0.699999988079071,0.88,0.7205555555555556
4326,0.6666666865348816,0.92,0.7466666666666666
4327,0.30000001192092896,0.72,0.4
4333,0.4000000059604645,0.64,0.76
4335,0.125,0.72,0.125
4336,0.6666666865348816,0.92,0.9523809523809523
4337,0.25,0.88,0.25
4338,0.4444444477558136,0.8000000000000002,0.5135449735449735
4341,0.6000000238418579,0.92,0.6
4346,0.125,0.72,0.11142857142857143
4350,0.27272728085517883,0.68,0.4740740740740741
4351,0.375,0.8000000000000002,0.34
4354,0.0,0.8399999999999999,0.12
4355,0.1428571492433548,0.76,0.14285714285714285
4367,0.1666666716337204,0.6,0.3233333333333333
4368,0.4000000059604645,0.64,0.5657300275482093
4369,0.3333333432674408,0.8399999999999999,0.30666666666666664
4372,0.1428571492433548,0.76,0.3333333333333333
4379,0.25,0.88,0.24666666666666665
4386,0.1666666716337204,0.8000000000000002,0.2111111111111111
4387,0.30000001192092896,0.72,0.3342857142857143
4389,0.27272728085517883,0.68,0.2727272727272727
4390,0.10000000149011612,0.64,0.1557142857142857
4394,0.1538461595773697,0.56,0.2412121212121212
4396,0.4000000059604645,0.88,0.31777777777777777
4397,0.4000000059604645,0.88,0.31777777777777777
4400,0.0,0.8399999999999999,0.2
4404,0.5,0.92,0.4844444444444444
4405,0.6666666865348816,0.92,0.9333333333333333
4406,0.6666666865348816,0.92,0.6800000000000002
4408,0.0,0.72,0.12
4413,0.4000000059604645,0.88,0.5555555555555556
4415,0.1666666716337204,0.8000000000000002,0.16333333333333333
4416,0.3333333432674408,0.8399999999999999,0.38666666666666666
4418,0.25,0.88,0.25
4419,0.3333333432674408,0.8399999999999999,0.30666666666666664
4426,0.5714285969734192,0.88,0.5714285714285714
4428,0.3333333432674408,0.76,0.3333333333333333
