pr,acc,f-measure,precision
4043,0.1666666716337204,0.8000000000000002,0.16333333333333333
4044,0.2857142984867096,0.8000000000000002,0.2857142857142857
4046,0.25,0.88,0.25
4047,0.4285714328289032,0.8399999999999999,0.44
4054,0.5555555820465088,0.8399999999999999,0.5555555555555556
4056,0.1428571492433548,0.76,0.1825
4057,0.5,0.88,0.5
4058,0.25,0.76,0.24666666666666665
4059,0.625,0.88,0.6752380952380952
4060,0.20000000298023224,0.8399999999999999,0.165
4061,0.4444444477558136,0.8000000000000002,0.5009523809523809
4068,0.125,0.72,0.16999999999999998
4100,0.0,0.8000000000000002,0.08
4105,0.20000000298023224,0.8399999999999999,0.2
4106,0.6000000238418579,0.92,0.6799999999999999
4107,0.1875,0.48,0.7075
4109,0.25,0.52,0.73
4111,0.2222222238779068,0.72,0.2533333333333333
4116,0.4285714328289032,0.8399999999999999,0.42857142857142855
4119,0.2857142984867096,0.8000000000000002,0.32
4123,0.4444444477558136,0.8000000000000002,0.44
4124,0.4000000059604645,0.88,0.52
4128,0.4285714328289032,0.8399999999999999,0.495
4141,0.5,0.8000000000000002,0.5664285714285715
4157,0.0,0.8000000000000002,0.04
4180,0.5714285969734192,0.88,0.6133333333333333
4182,0.5,0.88,0.5
4184,0.7142857313156128,0.92,0.8971428571428571
4185,0.375,0.8000000000000002,0.42
4189,0.4285714328289032,0.8399999999999999,0.44
4191,0.6363636255264282,0.8399999999999999,0.7324999999999999
4203,0.5,0.92,0.5
4208,0.10000000149011612,0.64,0.09555555555555556
4212,0.800000011920929,0.96,0.8
4216,0.25,0.64,0.3607142857142857
4225,0.20000000298023224,0.8399999999999999,0.2
4226,0.2222222238779068,0.72,0.23047619047619047
4234,0.125,0.72,0.11142857142857143
4245,0.3333333432674408,0.76,0.48125
4246,0.125,0.72,0.13555555555555554
4252,1.0,1.0,1.0
4253,0.20000000298023224,0.8399999999999999,0.2
4255,0.6000000238418579,0.92,0.6
4258,0.1818181872367859,0.64,0.5418181818181818
4259,0.4444444477558136,0.8000000000000002,0.44
4260,0.30000001192092896,0.72,0.305
4261,0.1428571492433548,0.76,0.14285714285714285
4263,0.5,0.8399999999999999,0.5244444444444444
4264,0.1428571492433548,0.76,0.14285714285714285
4265,0.3333333432674408,0.8399999999999999,0.30666666666666664
4268,0.3333333432674408,0.8399999999999999,0.38666666666666666
4270,0.375,0.8000000000000002,0.5557142857142857
4275,0.3333333432674408,0.6,0.7333333333333334
4277,0.125,0.72,0.11142857142857143
4278,0.5,0.88,0.62
4280,0.6666666865348816,0.88,0.7228571428571428
4281,0.6000000238418579,0.92,0.6
4282,0.4000000059604645,0.88,0.4
4284,0.4444444477558136,0.8000000000000002,0.6444444444444444
4289,0.0,0.8399999999999999,0.04
4290,0.30000001192092896,0.72,0.3342857142857143
4291,0.1428571492433548,0.76,0.14666666666666667
4299,0.5,0.92,0.4844444444444444
4309,0.5714285969734192,0.88,0.6914285714285714
4311,0.375,0.8000000000000002,0.48142857142857143
4312,0.5714285969734192,0.88,0.7122222222222223
4313,0.25,0.88,0.20666666666666667
4314,0.5,0.88,0.62
4317,0.375,0.8000000000000002,0.575
4326,0.7142857313156128,0.92,0.8373015873015873
4327,0.375,0.8000000000000002,0.575
4333,0.4000000059604645,0.64,0.76
4335,0.1428571492433548,0.76,0.14285714285714285
4336,0.2857142984867096,0.8000000000000002,0.38222222222222224
4337,0.25,0.88,0.25
4338,0.5,0.8000000000000002,0.5029629629629631
4341,0.5,0.88,0.5
4346,0.20000000298023224,0.8399999999999999,0.165
4350,0.20000000298023224,0.68,0.4281481481481481
4351,0.5,0.8000000000000002,0.5
4354,0.09090909361839294,0.6,0.1437037037037037
4355,0.25,0.88,0.25
4367,0.4545454680919647,0.76,0.510625
4368,0.4545454680919647,0.76,0.7454545454545454
4369,0.1666666716337204,0.8000000000000002,0.19111111111111112
4372,0.1666666716337204,0.8000000000000002,0.26
4379,0.2857142984867096,0.8000000000000002,0.2622222222222222
4386,0.0,0.88,0.25
4387,0.7142857313156128,0.92,0.7344444444444446
4389,0.6000000238418579,0.92,0.6
4390,0.5,0.88,0.48999999999999994
4394,1.0,1.0,1.0
4396,0.25,0.76,0.23047619047619047
4397,0.25,0.76,0.23047619047619047
4400,0.1666666716337204,0.8000000000000002,0.16666666666666666
4404,0.2857142984867096,0.8000000000000002,0.2622222222222222
4405,0.625,0.88,0.6352380952380953
4406,0.1666666716337204,0.8000000000000002,0.26
4408,0.0,0.8000000000000002,0.12
4413,0.5,0.92,0.5555555555555556
4415,0.2857142984867096,0.8000000000000002,0.2622222222222222
4416,0.375,0.8000000000000002,0.38
4418,0.20000000298023224,0.8399999999999999,0.2
4419,0.2857142984867096,0.8000000000000002,0.2622222222222222
4426,0.20000000298023224,0.8399999999999999,0.245
4428,0.6666666865348816,0.96,0.7066666666666667
4429,0.5,0.8399999999999999,0.6661904761904762
4431,0.6666666865348816,0.92,0.6800000000000002
4439,0.25,0.76,0.539047619047619
4443,0.5555555820465088,0.8399999999999999,0.5555555555555556
4444,0.5,0.88,0.5
4448,0.1666666716337204,0.8000000000000002,0.16666666666666666
4452,0.25,0.76,0.32666666666666666
4453,0.20000000298023224,0.8399999999999999,0.2
4470,0.125,0.72,0.3538775510204082
4484,0.2857142984867096,0.8000000000000002,0.32
4492,0.5,0.88,0.48999999999999994
4498,0.3333333432674408,0.92,0.29
4505,0.4285714328289032,0.8399999999999999,0.415
4507,0.1428571492433548,0.76,0.2425
4518,0.20000000298023224,0.8399999999999999,0.245
4519,0.8333333134651184,0.96,0.8333333333333334
4520,0.0,0.76,0.24166666666666667
4531,0.1666666716337204,0.8000000000000002,0.16333333333333333
4533,0.5,0.8399999999999999,0.5
4546,0.5,0.88,0.5
4547,0.1428571492433548,0.76,0.2425
4549,0.3636363744735718,0.72,0.37510204081632653
4553,0.25,0.88,0.26666666666666666
4554,0.25,0.76,0.23047619047619047
4560,0.3333333432674408,0.76,0.41714285714285715
4565,0.0,0.72,0.04
4577,0.5714285969734192,0.88,0.5733333333333334
4578,0.375,0.8000000000000002,0.38
4587,0.800000011920929,0.96,0.8400000000000001
4596,0.5714285969734192,0.88,0.6133333333333333
4601,0.625,0.88,0.6752380952380952
4602,0.5,0.88,0.53
4604,0.4285714328289032,0.8399999999999999,0.415
4605,0.1666666716337204,0.8000000000000002,0.16333333333333333
4607,0.1666666716337204,0.8000000000000002,0.2033333333333333
4608,0.6666666865348816,0.92,0.7466666666666666
4613,0.1428571492433548,0.76,0.22666666666666668
4617,0.8333333134651184,0.96,0.8733333333333334
4618,0.6666666865348816,0.92,0.7466666666666666
4634,0.6000000238418579,0.92,0.6799999999999999
4642,0.1666666716337204,0.8000000000000002,0.16666666666666666
4644,0.2222222238779068,0.72,0.29333333333333333
4658,0.5,0.88,0.48999999999999994
4660,0.6666666865348816,0.92,0.6666666666666666
4692,0.1428571492433548,0.76,0.22666666666666668
